{'districtName': '河南省', 'articleId': '1296588', 'publishDate': 1668480180, 'procurement': '新乡市红旗区洪门镇中心学校(新乡市红旗区洪门镇初级中学）', 'title': '新乡市红旗区洪门镇中心学校(新乡市红旗区洪门镇初级中学）2022年11至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296588&channelCode=H600107', 'detail': [{'proname': '新乡市红旗区洪门镇中心学校(新乡市红旗区洪门镇初级中学）新乡市红旗区洪门镇中心学校教学设施设备采购项目', 'price': '467.53', 'require': '图书、电子屏、课桌凳、计算机、安防、空调、饮水机、仪器器材、实验室建设、三个课堂、采光照明等设施设备。', 'futher': 1669824000, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296534', 'publishDate': 1668478260, 'procurement': '三门峡市自然资源和规划局城乡一体化示范区分局', 'title': '三门峡市自然资源和规划局城乡一体化示范区分局2022年11至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296534&channelCode=H600107', 'detail': [{'proname': '三门峡市自然资源和规划局城乡一体化示范区分局示范区集体土地所有权登记项目', 'price': '800000.00', 'require': '三门峡市自然资源和规划局城乡一体化示范区分局示范区集体土地所有权登记成果更新汇交项目进行测算更新', 'futher': 1669824000, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296793', 'publishDate': 1668494340, 'procurement': '龙门石窟研究院', 'title': '龙门石窟研究院2022年11至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296793&channelCode=H600107', 'detail': [{'proname': '龙门石窟研究院物业管理服务项目', 'price': '5446000.00', 'require': '龙门石窟文保中心物业管理服务和白园、香山寺及东、西两山石窟区保安服务（窟区文物安全）项目。', 'futher': 1669824000, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296791', 'publishDate': 1668494220, 'procurement': '信阳市妇幼保健院', 'title': '信阳市妇幼保健院2022年11至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296791&channelCode=H600107', 'detail': [{'proname': '信阳市妇幼保健院为商城县妇幼保健院、淮滨县妇幼保健院购置提升助产技术服务设备项目', 'price': '265.00', 'require': '根据《信阳市卫生健康委员会关于印发2022年信阳市妇幼保健机构母婴安全保障能力提升项目实施方案的通知》要求，委托我院统一为商城县妇幼保健院、淮滨县妇幼保健院购置提升助产技术服务设备', 'futher': 1669824000, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296519', 'publishDate': 1668478020, 'procurement': '安阳市民政局', 'title': '安阳市民政局2022年11至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296519&channelCode=H600107', 'detail': [{'proname': '安阳市民政局社区康复辅具租赁站设施、设备完善项目', 'price': '100.00', 'require': '六个社区康复辅具租赁站的设施、设备改造及完善', 'futher': 1669824000, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296766', 'publishDate': 1668492180, 'procurement': '洛阳市中医院', 'title': '洛阳市中医院2022年12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296766&channelCode=H600107', 'detail': [{'proname': '洛阳市中医院洛阳市第一中医院新区医院门诊医技病房楼厨房设备及燃气系统项目', 'price': '510.00', 'require': '厨房设备含所有厨房设备、灭火装置等配套内容，含材料费及安装费；厨房燃气系统含所有配套内容，含材料费及安装费。', 'futher': 1669824000, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296749', 'publishDate': 1668489420, 'procurement': '新乡红旗区先进制造业开发区管理委员会', 'title': '新乡红旗区先进制造业开发区管理委员会2022年11至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296749&channelCode=H600107', 'detail': [{'proname': '新乡红旗区先进制造业开发区管理委员会新东区东业路(镇中路-新正街)道路工程项目', 'price': '976.08', 'require': '新东区东业路(镇中路-新正街)道路工程建设长度1108.88米，红线宽度 20米，包含道路、雨水、污水、照明、绿化工程等其他相关内容。', 'futher': 1669824000, 'comment': '无'}]}
{'districtName': '河南省', 'articleId': '1296513', 'publishDate': 1668477840, 'procurement': '郑州市郑东新区豫兴路办事处', 'title': '郑州市郑东新区豫兴路办事处2022年11至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296513&channelCode=H600107', 'detail': [{'proname': '郑州市郑东新区豫兴路办事处2023年度职工食堂餐饮服务项目', 'price': '80.00', 'require': '委托一家供应商为采购人职工食堂提供餐饮服务，供应商按照采购人确定的就餐模式和标准为采购人提供员工餐餐饮服务。', 'futher': 1669824000, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296736', 'publishDate': 1668486840, 'procurement': '郑州市管城回族区中心幼儿园', 'title': '郑州市管城回族区中心幼儿园附属第一幼儿园多功能智慧教学空间建设项目2022年11至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296736&channelCode=H600107', 'detail': [{'proname': '郑州市管城回族区中心幼儿园附属第一幼儿园多功能智慧教学空间建设项目', 'price': '70.00', 'require': '郑州市管城回族区中心幼儿园附属第一幼儿园因教学需要，需为多功能智慧教学空间购置设施设备。', 'futher': 1669824000, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296508', 'publishDate': 1668477720, 'procurement': '郸城县残疾人联合会', 'title': '郸城县残疾人联合会2022年11至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296508&channelCode=H600107', 'detail': [{'proname': '郸城县残疾人联合会办公设备项目', 'price': '1.80', 'require': '电脑、扫描仪、打印机、高拍仪等', 'futher': 1667232000, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296733', 'publishDate': 1668486480, 'procurement': '郑州市常庄水库管理处', 'title': '郑州市常庄水库管理处2022年12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296733&channelCode=H600107', 'detail': [{'proname': '郑州市常庄水库管理处2023年维修养护项目', 'price': '196.00', 'require': '本项目主要涉及2023年水库维修养护。', 'futher': 1669824000, 'comment': '项目资金以财政局实际批复预算资金为准。'}]}
{'districtName': '河南省', 'articleId': '1296728', 'publishDate': 1668485280, 'procurement': '濮阳市公安局', 'title': '濮阳市公安局驾驶人考试和驾驶人考试监管系统意见设备及数据库迁移项目2022年11至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296728&channelCode=H600107', 'detail': [{'proname': '濮阳市公安局驾驶人考试和驾驶人监管系统硬件设备及数据库迁移项目', 'price': '96.00', 'require': '驾驶人理论考试和驾驶人考试监管系统硬件设备及数据库迁移项目', 'futher': 1667232000, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296501', 'publishDate': 1668477480, 'procurement': '原阳县城市管理局', 'title': '原阳县城市管理局2022年11至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296501&channelCode=H600107', 'detail': [{'proname': '原阳县城市管理局城区停车位采购项目', 'price': '300.00', 'require': '城区道路规划临时停车泊位约23000个。', 'futher': 1669824000, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296712', 'publishDate': 1668483900, 'procurement': '郸城县自然资源局', 'title': '郸城县自然资源局2022年11月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296712&channelCode=H600107', 'detail': [{'proname': '郸城县自然资源局办公设备采购项目', 'price': '0.58', 'require': '制图电脑一台', 'futher': 1667232000, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296483', 'publishDate': 1668476940, 'procurement': '郑州市管城回族区人力资源和社会保障局', 'title': '郑州市管城回族区人力资源和社会保障局2022年11至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296483&channelCode=H600107', 'detail': [{'proname': '郑州市管城回族区人力资源和社会保障局管城回族区零工市场建设项目', 'price': '140.00', 'require': '根据我区零工市场建设方案，对原301改造项目部进行场地改造。', 'futher': 1667232000, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296689', 'publishDate': 1668483000, 'procurement': '获嘉县农业农村局', 'title': '获嘉县农业农村局2022年11至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296689&channelCode=H600107', 'detail': [{'proname': '获嘉县农业农村局获嘉县“中原农谷”一区（城关镇、照镜镇、位庄乡，黄堤镇）高标准农田示范区建设项目（EPC）项目', 'price': '23425.60', 'require': '一区包含城关镇、照镜镇、位庄乡，黄堤镇，共计62180亩。主要建设内容包括灌溉工程、排水工程、田间道路建设、农田防护与生态保护，农田信息化工程、农田输配电工程，农田地力提升工程。', 'futher': 1669824000, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296480', 'publishDate': 1668476880, 'procurement': '光山县公路事业发展中心', 'title': '光山县公路事业发展中心2022年11至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296480&channelCode=H600107', 'detail': [{'proname': '光山县公路事业发展中心光山县行政村通村路错车带建设项目', 'price': '130.26', 'require': '本项目施工图所示范围及工程量清单中的全部内容', 'futher': 1669824000, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296679', 'publishDate': 1668482820, 'procurement': '郸城县退役军人事务局', 'title': '郸城县退役军人事务局2022年11至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296679&channelCode=H600107', 'detail': [{'proname': '郸城县退役军人事务局新年 春节走访慰问副食品采购项目', 'price': '199.95', 'require': '因新年春节走访慰问优抚对象，需要采购国标纯牛奶、牛肉、火腿肠。', 'futher': 1667232000, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296472', 'publishDate': 1668476700, 'procurement': '濮阳市中医医院', 'title': '濮阳市中医医院16排CT等一批医疗设备采购意向公示2022年11至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296472&channelCode=H600107', 'detail': [{'proname': '濮阳市中医医院16排CT等一批医疗设备采购意向公示项目', 'price': '3574.06', 'require': '序号\t设备名称\t数量（台/件/套）\r\n1\t极超短波治疗机\t1\r\n2\t16排CT\t        1\r\n3\t16排CT\t        1\r\n4\t试剂冰箱\t1\r\n5\t贮血冰箱\t1\r\n6\t电动综合手术床\t2\r\n7\t血液透析机\t10\r\n8\t集中供透析液系统\t1\r\n9\t自动化腹膜透析机\t1\r\n10\t二氧化碳激光治疗机（点阵）\t1\r\n11\t半导体激光脱毛仪\t1\r\n12\t二氧化碳激光治疗机\t1\r\n13\t光谱治疗仪\t1\r\n14\t心电监护仪\t2\r\n15\t尿动力学分析仪\t1\r\n16\t床头彩超\t1\r\n17\t全套关节镜\t1\r\n18\t腕关节镜\t1\r\n19\t心电监护仪\t4\r\n20\t高端胃肠镜系统\t1 \r\n21\t平衡功能检查系统\t1\r\n22\t电子鼻咽喉镜\t1\r\n23\t耳鼻喉综合诊疗台\t2\r\n24\t全身高端彩超仪\t2\r\n25\t全身高端彩超\t1\r\n26\t彩超探头\t1\r\n27\t亚低温治疗仪\t1\r\n28\t全自动智能止血带系统\t2\r\n29\t血管内超声诊断仪\t1\r\n30\t旋磨介入治疗仪\t1\r\n31\t睡眠检测仪\t1\r\n32\t多导睡眠监测仪\t1', 'futher': 1669824000, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296678', 'publishDate': 1668482820, 'procurement': '郸城县退役军人事务局', 'title': '郸城县退役军人事务局2022年11至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296678&channelCode=H600107', 'detail': [{'proname': '郸城县退役军人事务局春节慰问物资采购项目', 'price': '199.50', 'require': '因春节慰问优抚对象，需要采购国标面粉、大米、一级非转基因花生油', 'futher': 1667232000, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296674', 'publishDate': 1668482700, 'procurement': '临颍县教育局', 'title': '临颍县教育局2022年11至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296674&channelCode=H600107', 'detail': [{'proname': '临颍县教育局薄改提升工程电教设备采购项目', 'price': '50.00', 'require': '采购智慧黑板20套。', 'futher': 1669824000, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296458', 'publishDate': 1668476100, 'procurement': '唐河县桐河乡人民政府', 'title': '唐河县桐河乡李司庄美丽乡村升级改造工程2022年11至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296458&channelCode=H600107', 'detail': [{'proname': '唐河县桐河乡人民政府唐河县桐河乡李司庄美丽乡村升级改造工程项目', 'price': '234.41', 'require': '仿古青砖铺设面积467.73平方米，花砖围墙总长42米，花岗岩岩石总长81.6米，DN200波纹管总长257米，DN300波纹管总长162米等工程。', 'futher': 1669824000, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296671', 'publishDate': 1668482640, 'procurement': '中共驻马店市驿城区委员会组织部', 'title': '中共驻马店市驿城区委员会组织部2022年11至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296671&channelCode=H600107', 'detail': [{'proname': '中共驻马店市驿城区委员会组织部驻马店市驿城区委组织部智慧党建项目', 'price': '58.00', 'require': '驿城区智慧党建项目，建设综合运营调度系统。', 'futher': 1669824000, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296455', 'publishDate': 1668476040, 'procurement': '鲁山县乡村振兴局', 'title': '鲁山县乡村振兴局2023年1至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296455&channelCode=H600107', 'detail': [{'proname': '鲁山县乡村振兴局董周乡石峡沟村养牛场项目', 'price': '400.00', 'require': '新建牛舍2座，草料棚1座，储青池1座，晾粪棚1座，仓储用房1座，及水电配套等设备', 'futher': 1672502400, 'comment': []}, {'proname': '鲁山县乡村振兴局董周乡石峡沟村养牛场项目', 'price': '400.00', 'require': '新建牛舍2座，草料棚1座，储青池1座，晾粪棚1座，仓储用房1座，及水电配套等设备', 'futher': 1672502400, 'comment': []}, {'proname': '鲁山县乡村振兴局董周乡石峡沟村养牛场项目', 'price': '400.00', 'require': '新建牛舍2座，草料棚1座，储青池1座，晾粪棚1座，仓储用房1座，及水电配套等设备', 'futher': 1672502400, 'comment': []}, {'proname': '鲁山县乡村振兴局董周乡石峡沟村养牛场项目', 'price': '400.00', 'require': '新建牛舍2座，草料棚1座，储青池1座，晾粪棚1座，仓储用房1座，及水电配套等设备', 'futher': 1672502400, 'comment': []}, {'proname': '鲁山县乡村振兴局董周乡石峡沟村养牛场项目', 'price': '400.00', 'require': '新建牛舍2座，草料棚1座，储青池1座，晾粪棚1座，仓储用房1座，及水电配套等设备', 'futher': 1672502400, 'comment': []}, {'proname': '鲁山县乡村振兴局董周乡石峡沟村养牛场项目', 'price': '400.00', 'require': '新建牛舍2座，草料棚1座，储青池1座，晾粪棚1座，仓储用房1座，及水电配套等设备', 'futher': 1672502400, 'comment': []}, {'proname': '鲁山县乡村振兴局董周乡石峡沟村养牛场项目', 'price': '400.00', 'require': '新建牛舍2座，草料棚1座，储青池1座，晾粪棚1座，仓储用房1座，及水电配套等设备', 'futher': 1672502400, 'comment': []}, {'proname': '鲁山县乡村振兴局董周乡石峡沟村养牛场项目', 'price': '400.00', 'require': '新建牛舍2座，草料棚1座，储青池1座，晾粪棚1座，仓储用房1座，及水电配套等设备', 'futher': 1672502400, 'comment': []}, {'proname': '鲁山县乡村振兴局董周乡石峡沟村养牛场项目', 'price': '400.00', 'require': '新建牛舍2座，草料棚1座，储青池1座，晾粪棚1座，仓储用房1座，及水电配套等设备', 'futher': 1672502400, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296669', 'publishDate': 1668482640, 'procurement': '卢氏县五里川镇中心小学', 'title': '卢氏县五里川镇中心小学2022年11至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296669&channelCode=H600107', 'detail': [{'proname': '卢氏县五里川镇中心小学教育教学设备采购项目', 'price': '102.00', 'require': '主要内容为办公桌椅、窗帘、显示屏、室内装修等', 'futher': 1669824000, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296454', 'publishDate': 1668476040, 'procurement': '邓州市中心医院', 'title': '邓州市中心医院2022年11至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296454&channelCode=H600107', 'detail': [{'proname': '邓州市中心医院采购医疗设备一批项目', 'price': '1355.00', 'require': '一批医疗设备', 'futher': 1667232000, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296668', 'publishDate': 1668482580, 'procurement': '新野县发展和改革委员会', 'title': '新野县发展和改革委员会2022年11至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296668&channelCode=H600107', 'detail': [{'proname': '新野县发展和改革委员会应急物资储备采购项目', 'price': '268.25', 'require': '县级救灾物资的收储、轮换和日常管理', 'futher': 1669824000, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296667', 'publishDate': 1668482520, 'procurement': '新乡市生态环境局原阳分局', 'title': '新乡市生态环境局原阳分局2022年11至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296667&channelCode=H600107', 'detail': [{'proname': '新乡市生态环境局原阳分局原阳县生态县创建规划项目', 'price': '50.00', 'require': '进一步提升我县生态文明水平。使原阳县生态环境良好并不断趋向更高水平的平衡，环境污染基本消除，自然资源得到有效保护和合理利用。稳定可靠的生态安全保障体系基本形成，环境保护法律，法规，制度得到有效的贯彻执行，规划对于促进原阳县经济社会全面，协调，可持续发展，人与自然和谐相处，城乡环境整洁优美都具有重要意义。', 'futher': 1667232000, 'comment': '无'}]}
