{'cname': '鑫启元（北京）建筑工程有限公司', 'corcode': '91110116MAC3M7A049', 'cid': '002212312027452284'}
{'cname': '中昌兴融（北京）建设工程有限公司', 'corcode': '91110109MA01J0P94Y', 'cid': '002105291248679522'}
{'cname': '中海富通（北京）建设有限公司', 'corcode': '91110109MA01H46G0E', 'cid': '002105291248679526'}
{'cname': '北京建祥兴业装饰工程有限公司', 'corcode': '91110111089658801A', 'cid': '002105291248680223'}
{'cname': '北京东方辉能科技有限公司', 'corcode': '91110302671714610D', 'cid': '002105291248680232'}
{'cname': '北京华耘佰帝电力设备安装工程有限公司', 'corcode': '91110112051403301L', 'cid': '002105291249713327'}
{'cname': '北京市东顺和通讯工程安装有限公司', 'corcode': '91110105101745781M', 'cid': '002105291249713328'}
{'cname': '北京金运恒业机械建材有限公司', 'corcode': '91110116699610696D', 'cid': '002105291248676386'}
{'cname': '北京圣麒麟建筑装饰工程有限公司', 'corcode': '911101157596472486', 'cid': '002105291248676387'}
{'cname': '中科同德（北京）生态科技有限公司', 'corcode': '91110111357943650C', 'cid': '002105291249713334'}
{'cname': '艾德兄弟（北京）机电工程有限公司', 'corcode': '911101056656349997', 'cid': '002105291249713342'}
{'cname': '中联国建建筑工程有限公司', 'corcode': '91110113MA018H8H8L', 'cid': '002105291248676724'}
{'cname': '中泽启辰（北京）建设工程有限公司', 'corcode': '91110109MA01YQXM4P', 'cid': '002105291328052507'}
{'cname': '北京鑫义建设工程有限公司', 'corcode': '91110117MA01MKQ08T', 'cid': '002105291328068518'}
{'cname': '北京明山建筑工程有限公司', 'corcode': '91110117MA01WNK455', 'cid': '002105291335088072'}
{'cname': '北京西能环境发展有限公司', 'corcode': '911101146835611489', 'cid': '002105291328065076'}
{'cname': '北京诚至金开新能源工程技术有限公司', 'corcode': '91110109MA003W6B9K', 'cid': '002105291335090462'}
{'cname': '北京齐鑫建筑装饰工程有限公司', 'corcode': '91110111MA01TF0P1P', 'cid': '002105291335090468'}
{'cname': '北京煜晟天恒科技有限公司', 'corcode': '91110106082803199C', 'cid': '002105291328052193'}
{'cname': '北京枞诚市政工程有限公司', 'corcode': '91110111MA01TUG42Q', 'cid': '002105291328052195'}
{'cname': '北京天鸿信建筑有限公司', 'corcode': '91110109MA01YD9U1K', 'cid': '002105291328053577'}
{'cname': '北京易通顺建筑工程有限公司', 'corcode': '91110113MA01CPDF76', 'cid': '002105291335090834'}
{'cname': '北京中熙领航建设有限公司', 'corcode': '91110111MA0218HL63', 'cid': '002105291336093263'}
{'cname': '北京辰鉴建筑工程有限公司', 'corcode': '91110109MA01YPXW3L', 'cid': '002105291328066859'}
{'cname': '中鸿信工程咨询有限公司', 'corcode': '911101087770723107', 'cid': '002105291328052561'}
{'cname': '北京慢客工程有限公司', 'corcode': '91110117MA01YM9X0Y', 'cid': '002105291336095001'}
{'cname': '北京鸿昊建达建筑工程有限公司', 'corcode': '91110116MA001ML226', 'cid': '002105291336095008'}
{'cname': '北京路阔通隧道工程有限公司', 'corcode': '91110105339825095W', 'cid': '002105291259831595'}
{'cname': '中冶利智（北京）建设工程有限公司', 'corcode': '91110109MA00CJ8X5J', 'cid': '002105291259831602'}
{'cname': '北京中天鸿创建设工程有限公司', 'corcode': '91110109MA01BAMQ8H', 'cid': '002105291259832283'}
{'cname': '北京育才水电安装有限责任公司', 'corcode': '91110101101274916J', 'cid': '002105291259832289'}
{'cname': '北京圣诚伟业建筑工程有限公司', 'corcode': '91110112MA001NC28Q', 'cid': '002105291259832301'}
{'cname': '北京胜得威科技有限公司', 'corcode': '91110108587727873X', 'cid': '002105291305872105'}
{'cname': '贝装科技（北京）有限公司', 'corcode': '91110113MA017RPGXU', 'cid': '002105291305873135'}
{'cname': '北京建研远方工程技术有限公司', 'corcode': '91110116MA009W7E29', 'cid': '002105291305873143'}
{'cname': '北京国春建筑工程有限公司', 'corcode': '91110111782521256L', 'cid': '002105291305854202'}
{'cname': '北京豫龙天成建筑工程有限公司', 'corcode': '91110108585855417C', 'cid': '002105291305854203'}
{'cname': '北京博创建设有限公司', 'corcode': '911101157940780874', 'cid': '002105291259833330'}
{'cname': '北京华舒建设科技有限公司', 'corcode': '91110228MA01U7R7XK', 'cid': '002105291305874896'}
{'cname': '北京信任建筑工程有限公司', 'corcode': '91110114592387535U', 'cid': '002105291305874897'}
{'cname': '北京裕翔创新信息技术有限公司', 'corcode': '91110117MA00377L9D', 'cid': '002105291305875253'}
{'cname': '北京歌华有线工程管理有限责任公司', 'corcode': '91110108802076007M', 'cid': '002105291259836134'}
{'cname': '中科华创（北京）建设工程有限公司', 'corcode': '91110109MA00FDC86R', 'cid': '002105291240550357'}
{'cname': '北京安泰润洁科技有限公司', 'corcode': '91110302MA00B31M17', 'cid': '002105291240543376'}
{'cname': '北京中润晟建筑装饰工程有限责任公司', 'corcode': '91110228339671428R', 'cid': '002105291240554683'}
{'cname': '北京京云通达建筑工程有限责任公司', 'corcode': '91110228MA00FU8D89', 'cid': '002105291240554685'}
{'cname': '林达光亚建设工程（北京）有限公司', 'corcode': '91110228MA017UT617', 'cid': '002105291240554686'}
{'cname': '北京玉海恒通建筑工程有限公司', 'corcode': '91110106576895521N', 'cid': '002105291240554836'}
{'cname': '北京海港展旺建设工程有限公司', 'corcode': '91110115L33867201B', 'cid': '002105291240554842'}
{'cname': '北京亿泰九州科技有限公司', 'corcode': '911101126669437183', 'cid': '002105291240543562'}
{'cname': '瑞国建设有限责任公司', 'corcode': '911101158020829681', 'cid': '002105291240543711'}
{'cname': '北京京伦基业建筑工程有限公司', 'corcode': '91110115780956184Y', 'cid': '002105291240555068'}
{'cname': '北京利剑空调净化科技有限公司', 'corcode': '91110117399822603J', 'cid': '002105291240555069'}
{'cname': '北京利宏达建筑工程有限公司', 'corcode': '91110111MA001UP54K', 'cid': '002105291240555070'}
{'cname': '北京鼎鑫鸿建筑工程有限公司', 'corcode': '91110114076580398E', 'cid': '002105291240555071'}
{'cname': '北京光泽时代通信技术有限公司', 'corcode': '91110106680473521N', 'cid': '002105291240555072'}
{'cname': '北京华能昌泰保温防水工程有限公司', 'corcode': '91110105796739942T', 'cid': '002105291240555073'}
{'cname': '北京建安兴达机电设备安装有限公司', 'corcode': '91110109MA019G4H5C', 'cid': '002105291241564172'}
{'cname': '北京京宝福建筑劳务有限公司', 'corcode': '91110112MA018HME2A', 'cid': '002105291241564162'}
{'cname': '北京蓝色创意建筑装饰工程有限公司', 'corcode': '91110115MA00HELE6R', 'cid': '002105291241564167'}
{'cname': '北京恒莱人防设备安装有限公司', 'corcode': '91110113MA019WJK9R', 'cid': '002105291241564168'}
{'cname': '中超伟业建筑工程有限公司', 'corcode': '91110109MA00DQUC89', 'cid': '002105291241564334'}
{'cname': '北京博雅特照明科技有限责任公司', 'corcode': '911101095531257271', 'cid': '002105291241564342'}
{'cname': '北京城建欣世安装工程有限公司', 'corcode': '911101017868742272', 'cid': '002105291240539947'}
{'cname': '北京承栋电气安装有限公司', 'corcode': '911101087533083760', 'cid': '002105291240539948'}
{'cname': '北京田园时代装饰工程有限公司', 'corcode': '911101175568116180', 'cid': '002105291240539949'}
{'cname': '北京至明工程管理有限责任公司', 'corcode': '91110115MA001H6P1X', 'cid': '002105291241564345'}
{'cname': '北京港利装饰工程有限公司', 'corcode': '91110109MA019BFJ81', 'cid': '002105291241564348'}
{'cname': '北京成易达建筑工程有限公司', 'corcode': '91110109MA002C553R', 'cid': '002105291241564350'}
{'cname': '北京瑞安翔科技发展有限责任公司', 'corcode': '911101157704353505', 'cid': '002105291240539951'}
{'cname': '中国航空规划设计研究总院有限公司', 'corcode': '91110000100011188F', 'cid': '002105291240545986'}
{'cname': '北京顺通伟业市政工程有限公司', 'corcode': '911102280592469881', 'cid': '002105291240539962'}
{'cname': '北京瑞铭弘建筑工程有限公司', 'corcode': '91110106MA01X2417C', 'cid': '002106191903115088'}
{'cname': '中夏建业（北京）建设工程有限公司', 'corcode': '91110117MA029NE18E', 'cid': '002106161904112257'}
{'cname': '北京恒固众安建筑工程有限公司', 'corcode': '91110117MA021BFU58', 'cid': '002106161904112258'}
{'cname': '北京昌明盛建筑工程有限公司', 'corcode': '91110117MA0219MU4Q', 'cid': '002106161904112259'}
{'cname': '北京春东建筑劳务有限公司', 'corcode': '91110117MA020THX6D', 'cid': '002106161904112260'}
{'cname': '北京京电建安电力工程有限公司', 'corcode': '91110113MA01B2RQ87', 'cid': '002106161904112262'}
{'cname': '中宇嘉晟（北京）建设工程有限公司', 'corcode': '91110109MA020X2G2H', 'cid': '002106191903115090'}
{'cname': '北京汇科万家装饰工程有限公司', 'corcode': '91110111MA00H9T339', 'cid': '002106191903115091'}
{'cname': '中启荣晟建设集团有限公司', 'corcode': '91110106MA020M9F9Q', 'cid': '002106191903115092'}
{'cname': '中机十院国际工程有限公司', 'corcode': '911101057065650114', 'cid': '002105291248672810'}
{'cname': '北京英诺格林科技有限公司', 'corcode': '911101087693650684', 'cid': '002105291248657485'}
{'cname': '北京南义装饰工程有限公司', 'corcode': '91110106085500097M', 'cid': '002105291248655376'}
{'cname': '中富宏茂（北京）建设有限公司', 'corcode': '91110109MA020A8079', 'cid': '002106111905110157'}
{'cname': '北京广宁建设工程有限公司', 'corcode': '91110115MA02A04X9H', 'cid': '002106111905110149'}
{'cname': '北京中科瀚蓝环境科技有限公司', 'corcode': '91110228MA01YQCN9D', 'cid': '002106111905110159'}
{'cname': '北京云翀建设工程有限公司', 'corcode': '91110228MA009CK069', 'cid': '002107231919152654'}
{'cname': '北京易博讯科技有限公司', 'corcode': '911101087770613471', 'cid': '002107231919152655'}
{'cname': '北京本太装饰设计有限公司', 'corcode': '9111011475013346XW', 'cid': '002107231919152656'}
{'cname': '北京中天富海建筑工程有限公司', 'corcode': '91110228MA008FPX09', 'cid': '002107211912150138'}
{'cname': '北京鑫源晟达建筑工程有限公司', 'corcode': '91110118MA021B418N', 'cid': '002107211912150139'}
{'cname': '北京龙泽浩森机电安装工程有限公司', 'corcode': '91110117MA029PAD65', 'cid': '002107211912150141'}
{'cname': '东方易佳（北京）机电工程有限公司', 'corcode': '91110117MA02ADM84P', 'cid': '002107211912150142'}
{'cname': '北京天佑泽环保科技有限公司', 'corcode': '91110229MA01G8RM9L', 'cid': '002107151911145448'}
{'cname': '北京明汇佳业建筑工程有限公司', 'corcode': '91110109MA01UW2G2Q', 'cid': '002107211912150147'}
{'cname': '世纪安冶置业有限公司', 'corcode': '91110115MA00FHYM1G', 'cid': '002107151911145449'}
{'cname': '北京恒升农业集团有限公司', 'corcode': '911101125877182721', 'cid': '002107151911145450'}
{'cname': '北京中洲兴业建筑工程有限公司', 'corcode': '91110109MA029QPY65', 'cid': '002107151911145468'}
{'cname': '北京玖泰市政工程有限公司', 'corcode': '91110109MA029PRAXU', 'cid': '002107151911145469'}
{'cname': '北京玖义建设有限公司', 'corcode': '91110109MA020UE858', 'cid': '002107271918155113'}
{'cname': '凯运德（北京）建筑科技有限公司', 'corcode': '91110112MA01PKY80K', 'cid': '002107271918155114'}
{'cname': '中志圣通（北京）建筑工程有限公司', 'corcode': '91110109MA04H10819', 'cid': '002112231917242949'}
{'cname': '中汇融达（北京）建筑工程有限公司', 'corcode': '91110109MA04H2LJ82', 'cid': '002112231917242950'}
{'cname': '宏盛天保（北京）建筑工程有限公司', 'corcode': '91110109MA04GCQ57Q', 'cid': '002112231917242956'}
{'cname': '达马生活（北京）装饰工程有限公司', 'corcode': '91110117MA020CX28N', 'cid': '002112061917230302'}
{'cname': '北京兴涛伟业建设工程有限公司', 'corcode': '91110115MA7CYT1X1K', 'cid': '002112061917230304'}
{'cname': '北京博克思装饰有限责任公司', 'corcode': '91110228783978311A', 'cid': '002112011913227624'}
{'cname': '中交国际工程咨询有限公司', 'corcode': '91110108101406659H', 'cid': '002112171917239410'}
{'cname': '北京爱思济业平工程咨询有限公司', 'corcode': '91110107102702927U', 'cid': '002112171917239412'}
{'cname': '中交信通网络科技有限公司', 'corcode': '91110108330352762G', 'cid': '002112231917242967'}
{'cname': '北京亿澜集团有限公司', 'corcode': '91110108778615591T', 'cid': '002112231917242972'}
{'cname': '北京金瑞鑫诚建筑工程有限公司', 'corcode': '91110117MA04FBWN4B', 'cid': '002112231917242989'}
{'cname': '北京天启邦建筑工程有限公司', 'corcode': '91110114MA04ERU445', 'cid': '002111271913225296'}
{'cname': '北京经顺建设工程有限公司', 'corcode': '91110109MA029N7X5P', 'cid': '002112221917241972'}
{'cname': '京宸盛达（北京）建设有限公司', 'corcode': '91110117MA04FDBAXA', 'cid': '002112011913227639'}
{'cname': '北京惠施建筑工程有限公司', 'corcode': '91110117MA04DL99X1', 'cid': '002112221917241979'}
{'cname': '中景通宇（北京）建设有限公司', 'corcode': '91110109MA01F48YXJ', 'cid': '002105291249706534'}
{'cname': '中城华辉建设有限公司', 'corcode': '91110109099779471A', 'cid': '002105291249706541'}
{'cname': '北京钟匠建筑科技有限公司', 'corcode': '91110112MA0053D3X6', 'cid': '002105291249706544'}
{'cname': '北京润亚建设工程发展有限责任公司', 'corcode': '91110106683566256B', 'cid': '002105291249706897'}
{'cname': '北京首兴安成电力工程有限公司', 'corcode': '91110115102860247B', 'cid': '002105291249706898'}
{'cname': '北京翰威方宇建筑工程有限公司', 'corcode': '91110105677422942F', 'cid': '002105291249706899'}
{'cname': '北京金元建筑装饰工程有限公司', 'corcode': '91110105733446683C', 'cid': '002105291249707234'}
{'cname': '北京欣尚安吉建筑工程有限公司', 'corcode': '91110109MA01NE2395', 'cid': '002105291254728942'}
{'cname': '北京浩天建业建筑劳务有限公司', 'corcode': '91110109MA01N9Q113', 'cid': '002105291254728943'}
{'cname': '北京博斯迈装饰工程有限公司', 'corcode': '91110113MA01LG5B83', 'cid': '002105291249701624'}
{'cname': '北京诺仕隆工业表面材料有限公司', 'corcode': '91110302783986397X', 'cid': '002105291249701625'}
{'cname': '北京励拓建筑工程有限公司', 'corcode': '911101055858609373', 'cid': '002105291248699178'}
{'cname': '北京中环九州建筑工程有限公司', 'corcode': '91110105MA00A7AN2L', 'cid': '002105291248699191'}
{'cname': '北京鑫诚佳业建设工程有限公司', 'corcode': '91110116MA018JWC5A', 'cid': '002105291248699192'}
{'cname': '北京益恒泓瑞建筑工程有限公司', 'corcode': '91110228MA01M9715W', 'cid': '002105291254728955'}
{'cname': '北京达冠宏星机电工程安装有限公司', 'corcode': '91110109MA020WNK6B', 'cid': '002107131912139484'}
{'cname': '北京盈润科电智能技术有限公司', 'corcode': '91110105780959676N', 'cid': '002107131912139488'}
{'cname': '北京鼎天智创建设有限公司', 'corcode': '91110109MA021C3KXT', 'cid': '002108241905173017'}
{'cname': '北京中基维特路桥工程有限公司', 'corcode': '91110117MA020YGQ6F', 'cid': '002108241905173018'}
{'cname': '北京建恒安建筑有限公司', 'corcode': '91110117MA02AC866T', 'cid': '002108241905173020'}
{'cname': '北京卓斯特建筑工程有限公司', 'corcode': '91110117MA029Q4A67', 'cid': '002108241905173021'}
{'cname': '中锦恒盛（北京）建设有限公司', 'corcode': '91110117MA0210T68T', 'cid': '002108241905173022'}
{'cname': '华远成建（北京）建设有限公司', 'corcode': '91110117MA02AEF4X6', 'cid': '002108241905173023'}
{'cname': '中瑞兴华（北京）工程有限公司', 'corcode': '91110117MA0211E9X2', 'cid': '002108241905173024'}
{'cname': '中湘世纪（北京）工程有限公司', 'corcode': '91110117MA0211DJ5B', 'cid': '002108241905173029'}
{'cname': '北京塘晟建设工程有限公司', 'corcode': '91110117MA01YYWH9B', 'cid': '002107291914157027'}
{'cname': '北京永义天和建设工程有限公司', 'corcode': '91110117MA020UE34J', 'cid': '002107291914157028'}
{'cname': '华彬合盛（北京）工程设计有限公司', 'corcode': '911101063182587060', 'cid': '002107291914157036'}
{'cname': '北汽利戴工业技术服务（北京）有限公司', 'corcode': '91110105MA01E5UJ4A', 'cid': '002107291914157038'}
{'cname': '北京天润鸿鑫建设工程有限公司', 'corcode': '911101053483744170', 'cid': '002107291914157039'}
{'cname': '中苏天艺（北京）建设工程有限公司', 'corcode': '91110105788644695K', 'cid': '002107271918155433'}
{'cname': '汇兴鼎盛（北京）建设有限公司', 'corcode': '91110117MA0210B12X', 'cid': '002107271918155434'}
{'cname': '北京市宇琪泰建设有限公司', 'corcode': '91110106399419355F', 'cid': '002107221912151761'}
{'cname': '北京赛玛消防科技有限公司', 'corcode': '9111022835158401XG', 'cid': '002106221904117490'}
{'cname': '北京融恒建设工程集团有限公司', 'corcode': '91110109MA01YGFJ8P', 'cid': '002107221912151762'}
{'cname': '北京中科圣泰环境科技有限公司', 'corcode': '91110108099448170H', 'cid': '002107221912151776'}
{'cname': '北京悦都建筑工程有限公司', 'corcode': '91110115MA028HLE72', 'cid': '002106221904117491'}
{'cname': '北京鼎颂电气技术有限公司', 'corcode': '91110112MA0092TQ9F', 'cid': '002107221912151763'}
{'cname': '建工恒宇（北京）建设有限公司', 'corcode': '91110117MA020T2C90', 'cid': '002107221912151764'}
{'cname': '北京恒坤泰达建筑工程有限公司', 'corcode': '91110115MA021F0W7A', 'cid': '002106221904117492'}
{'cname': '中泰乾坤（北京）建设有限公司', 'corcode': '91110109MA0209TK19', 'cid': '002107221912151766'}
{'cname': '北京利雅达建筑工程有限公司', 'corcode': '91110114MA021G4H2Y', 'cid': '002107221912151767'}
{'cname': '北京金诚鸿安建筑工程有限公司', 'corcode': '91110115MA021CGH87', 'cid': '002106221904117493'}
{'cname': '北京六安电子科技有限公司', 'corcode': '91110116689218666P', 'cid': '002106221904117494'}
{'cname': '中泽正方（北京）建设有限公司', 'corcode': '91110109MA0209B97C', 'cid': '002107221912151768'}
{'cname': '北京金凯鹏装饰工程有限公司', 'corcode': '911101067467343263', 'cid': '002105291240480511'}
{'cname': '北京成鹏装饰工程有限公司', 'corcode': '91110114802663068N', 'cid': '002105291240480501'}
{'cname': '北京宸安建筑装饰有限公司', 'corcode': '911101175906746371', 'cid': '002105291240480502'}
{'cname': '北京耀利科技发展有限公司', 'corcode': '91110108738221088B', 'cid': '002105291240480512'}
{'cname': '北京双良混凝土有限公司', 'corcode': '91110105721410704U', 'cid': '002105291240480513'}
{'cname': '枣强恒润（北京）机电设备有限公司', 'corcode': '9111011578024614XE', 'cid': '002105291240480505'}
{'cname': '北京世骏装饰工程有限公司', 'corcode': '911101097488073572', 'cid': '002105291240480514'}
{'cname': '北京金凯远航建设工程有限公司', 'corcode': '91110108670574601Y', 'cid': '002105291240480038'}
{'cname': '北京市博丽雅装饰工程有限公司', 'corcode': '91110108722653118J', 'cid': '002105291240480506'}
{'cname': '北京纽斯塔建筑装饰工程有限公司', 'corcode': '9111010875674910XP', 'cid': '002105291240480040'}
{'cname': '北京千山幕墙装饰工程有限公司', 'corcode': '91110106553052871W', 'cid': '002105291240480041'}
{'cname': '北京市富元星达建筑装饰工程有限公司', 'corcode': '91110116700044362J', 'cid': '002105291240480515'}
{'cname': '北京星格建筑工程有限公司', 'corcode': '91110106091895224B', 'cid': '002105291240480516'}
{'cname': '北京世康瑞特工程技术有限公司', 'corcode': '911101177376790039', 'cid': '002105291240480517'}
{'cname': '北京安燃启东市政工程有限责任公司', 'corcode': '91110115662188620N', 'cid': '002105291240480509'}
{'cname': '北京大地兴华市政建设管理有限公司', 'corcode': '91110228MA01K8YF8G', 'cid': '002105291305858571'}
{'cname': '北京恒盛铭基建筑工程有限公司', 'corcode': '91110111MA01TF0U2Y', 'cid': '002105291305874960'}
{'cname': '博睿达（北京）机电工程有限公司', 'corcode': '91110116MA01DHRY5B', 'cid': '002105291305853951'}
{'cname': '北京帅阔达建筑工程有限公司', 'corcode': '91110109MA01RTNA26', 'cid': '002105291305853952'}
{'cname': '北京中徽康泰建设有限公司', 'corcode': '91110108593892779Q', 'cid': '002105291305853953'}
{'cname': '北京京张机械设备租赁有限公司', 'corcode': '91110228348273931H', 'cid': '002105291305853959'}
{'cname': '中昊华志（北京）建设有限公司', 'corcode': '91110109MA01N9PK0W', 'cid': '002105291259832372'}
{'cname': '北京捷瑞建设工程有限公司', 'corcode': '91110114MA01J2K63P', 'cid': '002105291305871142'}
{'cname': '迅通（北京）非开挖建设工程有限公司', 'corcode': '911101126723636805', 'cid': '002105291259835156'}
{'cname': '北京森泰建筑装饰工程有限公司', 'corcode': '91110106587661341C', 'cid': '002105291259835157'}
{'cname': '北京国泰永旺建筑工程有限责任公司', 'corcode': '91110114MA001URP0G', 'cid': '002105291259835160'}
{'cname': '北京展坤博宇节能科技有限公司', 'corcode': '911101070805439791', 'cid': '002105291259835164'}
{'cname': '北京红辉电力工程有限责任公司', 'corcode': '91110115MA01HRAM8G', 'cid': '002105291305855777'}
{'cname': '中铄（北京）建筑工程有限公司', 'corcode': '91110109MA01QR0DX1', 'cid': '002105291305863983'}
{'cname': '北京锦鹏天地建筑工程有限公司', 'corcode': '91110111MA01Q7404N', 'cid': '002105291259833403'}
{'cname': '北京万创宏建筑工程有限责任公司', 'corcode': '91110113MA01KHAY59', 'cid': '002105291248684448'}
{'cname': '北京天平道和文化科技有限公司', 'corcode': '91110102MA0053T90W', 'cid': '002105291248689413'}
{'cname': '北京昊润嘉业建筑装饰工程有限公司', 'corcode': '911101050573693512', 'cid': '002105291248665314'}
{'cname': '北京汇丽承建设工程有限公司', 'corcode': '91110111MA01KKYJ3R', 'cid': '002105291248690490'}
{'cname': '北京朝宇永盛建筑劳务有限公司', 'corcode': '91110111MA01LEU60N', 'cid': '002105291248690491'}
{'cname': '北京悦宁建筑工程有限公司', 'corcode': '91110106306719202X', 'cid': '002105291248681739'}
{'cname': '北京正达兴泰建筑工程有限公司', 'corcode': '91110111MA01BD2F91', 'cid': '002105291248682072'}
{'cname': '北京中电紫荆电力工程有限公司', 'corcode': '91110114397741631D', 'cid': '002105291248666737'}
{'cname': '北京凯利达科技有限公司', 'corcode': '91110114MA01979F60', 'cid': '002105291248682426'}
{'cname': '中景佳艺（北京）建设有限公司', 'corcode': '91110109MA01KL186F', 'cid': '002105291248685502'}
{'cname': '国恒筑邦（北京）建设有限公司', 'corcode': '91110109MA01EH4KXN', 'cid': '002105291248682443'}
{'cname': '北京长信泰康通信技术有限公司', 'corcode': '91110102700366011M', 'cid': '002105291248667459'}
{'cname': '北京中盛劳务有限责任公司', 'corcode': '91110105801732180J', 'cid': '002105291248668159'}
{'cname': '北京天成利合交通设施建设有限公司', 'corcode': '91110115327250028K', 'cid': '002105291248668161'}
{'cname': '建研凯勃建设工程咨询有限公司', 'corcode': '91110000710929666J', 'cid': '002105291248668851'}
{'cname': '北京洁世源生态环境工程有限公司', 'corcode': '9111010767743349XP', 'cid': '002105291240507513'}
{'cname': '北京田园吉盛装饰工程有限公司', 'corcode': '91110108600377514M', 'cid': '002105291240507514'}
{'cname': '北京永强建筑有限公司', 'corcode': '91110113102517705L', 'cid': '002105291240507515'}
{'cname': '北京华帅通供电工程安装有限公司', 'corcode': '9111011257129249XG', 'cid': '002105291240507516'}
{'cname': '北京庄惠泽装饰装修有限责任公司', 'corcode': '911101097002796633', 'cid': '002105291240507519'}
{'cname': '北京鸿禧营造建筑工程有限公司', 'corcode': '91110105754689035F', 'cid': '002105291240507520'}
{'cname': '中新金成兴（北京）建筑工程有限公司', 'corcode': '911101126717028043', 'cid': '002105291240533507'}
{'cname': '北京高维消防安全工程有限责任公司', 'corcode': '91110108633699413B', 'cid': '002105291240533508'}
{'cname': '北京山湖建筑工程有限公司', 'corcode': '91110106750103615Y', 'cid': '002105291240507223'}
{'cname': '北京康亿隆建筑节能安装工程有限公司', 'corcode': '91110229755282456J', 'cid': '002105291240507224'}
{'cname': '中科元培（北京）环境科技有限公司', 'corcode': '91110117MA0015575A', 'cid': '002105291240507230'}
{'cname': '北京康顺通工程项目管理有限公司', 'corcode': '91110114757709257B', 'cid': '002105291240519164'}
{'cname': '北京百耐尔防水工程有限公司', 'corcode': '9111011358087503XK', 'cid': '002105291240519166'}
{'cname': '北京金州工程有限公司', 'corcode': '91110000600043266B', 'cid': '002105291240519325'}
