{'cname': '北京中天远建筑工程有限公司', 'corcode': '91110109MA019HWA91', 'cid': '002105291241581606'}
{'cname': '北京顺益天成建筑劳务有限公司', 'corcode': '91110113MA01H1QU4F', 'cid': '002105291242641706'}
{'cname': '北京中土兴业建筑工程有限责任公司', 'corcode': '91110106069614780J', 'cid': '002105291242641708'}
{'cname': '北京博苑建筑安装工程有限公司', 'corcode': '91110116101770557T', 'cid': '002105291335090964'}
{'cname': '北京铂雅建设有限公司', 'corcode': '91110105723974933U', 'cid': '002105291336090965'}
{'cname': '中建工程产业技术研究院有限公司', 'corcode': '91110113600038862D', 'cid': '002105291336090966'}
{'cname': '北京盛泰通和信息技术有限公司', 'corcode': '91110115693226669Q', 'cid': '002105291336090968'}
{'cname': '北京中安正信建筑工程有限公司', 'corcode': '91110106085500572G', 'cid': '002105291336090970'}
{'cname': '北京太平机电设备安装有限责任公司', 'corcode': '91110107101227618D', 'cid': '002105291328055796'}
{'cname': '北京智深科技有限公司', 'corcode': '91110117MA0056EP41', 'cid': '002105291335084254'}
{'cname': '北京达中云瑞建筑工程有限公司', 'corcode': '91110109MA01RCW28D', 'cid': '002105291336093047'}
{'cname': '北京隆泰恒远建筑工程有限公司', 'corcode': '91110109MA01LU9B1T', 'cid': '002105291336094768'}
{'cname': '北京市政路桥锐诚科技有限公司', 'corcode': '91110106674277057E', 'cid': '002105291336093395'}
{'cname': '首核建设工程（北京）有限公司', 'corcode': '91110113MA01HHQ29Q', 'cid': '002105291328057510'}
{'cname': '中海环宇（北京）建设有限公司', 'corcode': '91110109MA01JBPJ6X', 'cid': '002105291328057511'}
{'cname': '广宇嘉业（北京）装饰工程有限公司', 'corcode': '91110115MA002BPC5U', 'cid': '002105291336095126'}
{'cname': '北京沃恩装饰设计工程有限公司', 'corcode': '91110112MA01CY4CX8', 'cid': '002105291336094793'}
{'cname': '北京君安汇达建设工程有限公司', 'corcode': '91110115MA02049H6P', 'cid': '002105291336095127'}
{'cname': '北京国电芳城能源工程有限公司', 'corcode': '91110106102127854M', 'cid': '002105291241594928'}
{'cname': '北京建德伟业防水防腐工程有限公司', 'corcode': '9111010657324212X8', 'cid': '002105291241594929'}
{'cname': '北京盛邦兴业建筑装饰工程有限公司', 'corcode': '91110117742606511P', 'cid': '002105291241594805'}
{'cname': '北京德海装饰工程有限公司', 'corcode': '91110117MA002Y7EXK', 'cid': '002105291241594806'}
{'cname': '北京三江地暖工程有限公司', 'corcode': '91110106071667558R', 'cid': '002105291241583278'}
{'cname': '北京诺士诚国际工程项目管理有限公司', 'corcode': '91110111059255403K', 'cid': '002105291241582930'}
{'cname': '北京中建华北装饰工程有限公司', 'corcode': '911101066835919452', 'cid': '002105291241598826'}
{'cname': '北京水木优品装饰有限公司', 'corcode': '91110111MA0191TF7W', 'cid': '002105291241583267'}
{'cname': '北京中建天邦建筑工程有限公司', 'corcode': '91110111339776748R', 'cid': '002105291241599126'}
{'cname': '北京吉润通市政工程有限公司', 'corcode': '911101166876267703', 'cid': '002105291241598840'}
{'cname': '嘉迅源（北京）智能系统科技有限公司', 'corcode': '91110108673834288H', 'cid': '002105291241598841'}
{'cname': '北京歌华新世纪环境艺术工程有限责任公司', 'corcode': '91110117752615294T', 'cid': '002105291241598842'}
{'cname': '筑田建设集团有限公司', 'corcode': '91110112553121523N', 'cid': '002105291241583414'}
{'cname': '北京首钢矿山建设工程有限责任公司', 'corcode': '911101077715535355', 'cid': '002105291241583159'}
{'cname': '北京中盛利和工程咨询有限公司', 'corcode': '911101055712638404', 'cid': '002105291241583336'}
{'cname': '北京京铁兴达建筑工程有限公司', 'corcode': '91110109MA01K7WE4T', 'cid': '002105291248675153'}
{'cname': '北京德惠基础工程有限公司', 'corcode': '91110109MA01EH3F29', 'cid': '002105291248675158'}
{'cname': '荣创创意（北京）科技有限公司', 'corcode': '911101085530969115', 'cid': '002105291248670253'}
{'cname': '中耀（北京）建筑工程有限公司', 'corcode': '91110114MA01HE5L2J', 'cid': '002105291248670250'}
{'cname': '北京华锦鑫茂建筑装饰工程有限公司', 'corcode': '91110112MA01A9Q29A', 'cid': '002105291248670594'}
{'cname': '北京兴泰鸿鑫建设工程有限公司', 'corcode': '91110116MA01GU4F54', 'cid': '002105291248681287'}
{'cname': '中源联合工程建设（北京）有限公司', 'corcode': '911101173183974748', 'cid': '002105291248667726'}
{'cname': '中都鑫业（北京）建筑工程有限公司', 'corcode': '91110109MA018T3MXM', 'cid': '002105291248667715'}
{'cname': '北京弘涛建筑劳务有限公司', 'corcode': '91110109MA01F9BN2U', 'cid': '002105291248670598'}
{'cname': '北京方略博华文化传媒有限公司', 'corcode': '91110101774748960W', 'cid': '002105291248671996'}
{'cname': '北京连兴建筑工程有限公司', 'corcode': '91110112MA0029061W', 'cid': '002105291248673073'}
{'cname': '北京富钧圣泰环境技术有限公司', 'corcode': '91110113569532677W', 'cid': '002105291248682693'}
{'cname': '北京雷雨明建筑工程设计有限公司', 'corcode': '91110114053558921F', 'cid': '002105291248674121'}
{'cname': '北京金达通豪建筑工程有限公司', 'corcode': '91110109MA018RWE3L', 'cid': '002105291248673422'}
{'cname': '北京航天盛达工程咨询有限公司', 'corcode': '91110108794089739P', 'cid': '002105291248664202'}
{'cname': '金伯格国际建设（北京）有限公司', 'corcode': '91110115MA01Q74UXR', 'cid': '002105291258790812'}
{'cname': '北京诚邦建设集团有限公司', 'corcode': '91110113MA01PL714U', 'cid': '002105291258790821'}
{'cname': '中安华企（北京）建设工程有限公司', 'corcode': '91110109MA01LTKP3Y', 'cid': '002105291255767728'}
{'cname': '中水宏宇（北京）建设有限公司', 'corcode': '91110109MA01PW7H5G', 'cid': '002105291255767026'}
{'cname': '北京畅通顺达建设有限公司', 'corcode': '91110115693248817N', 'cid': '002105291258791523'}
{'cname': '京诚泰达（北京）建设有限公司', 'corcode': '91110109MA00FLDA0H', 'cid': '002105291258791527'}
{'cname': '北京荣昶建筑有限公司', 'corcode': '91110109MA01MLXK9J', 'cid': '002105291255767732'}
{'cname': '北京伯特利建设工程有限公司', 'corcode': '91110109MA01PX2L9T', 'cid': '002105291255767744'}
{'cname': '中启阔达（北京）建设工程有限公司', 'corcode': '91110109MA01NH4K9N', 'cid': '002105291255767735'}
{'cname': '中鑫达建（北京）建筑工程有限公司', 'corcode': '91110117MA01NG6C3K', 'cid': '002105291255767737'}
{'cname': '北京宏城钢结构工程有限公司', 'corcode': '91110113399565889U', 'cid': '002105291255768434'}
{'cname': '北京格律升文博展示有限公司', 'corcode': '91110105MA00802X3F', 'cid': '002105291255768436'}
{'cname': '中宇鑫业（北京）建设工程有限公司', 'corcode': '91110111MA01NJMQ8C', 'cid': '002105291255767738'}
{'cname': '北京赫轩建筑有限公司', 'corcode': '91110112738214291Q', 'cid': '002105291255767740'}
{'cname': '北京军伟联盛建筑工程有限公司', 'corcode': '91110113MA01P64573', 'cid': '002105291255768437'}
{'cname': '北京华迅通信技术有限公司', 'corcode': '91110109MA002NRN0U', 'cid': '002105291259835252'}
{'cname': '北京中宇国瑞建设工程有限公司', 'corcode': '91110114MA0073D30Q', 'cid': '002105291305864222'}
{'cname': '京润峰建筑装饰（北京）有限公司', 'corcode': '91110106071684462C', 'cid': '002105291305864225'}
{'cname': '北京凯顺公路交通工程有限公司', 'corcode': '911102287886069715', 'cid': '002105291259835261'}
{'cname': '北京城投建设发展集团有限公司', 'corcode': '91110109MA01A8UF84', 'cid': '002105291305861835'}
{'cname': '北京中海盈石油设备工程技术有限公司', 'corcode': '911103020673234294', 'cid': '002105291305861843'}
{'cname': '奥美建筑装饰工程（北京）有限公司', 'corcode': '911101140828791185', 'cid': '002105291259836299'}
{'cname': '北京悦丽景致建筑劳务有限公司', 'corcode': '91110111MA01G02WX5', 'cid': '002105291259836300'}
{'cname': '北京中顺振兴建筑劳务有限责任公司', 'corcode': '91110228MA01Q2EW68', 'cid': '002105291305862854'}
{'cname': '北京安吉建筑工程有限公司', 'corcode': '91110228MA01Q1QC69', 'cid': '002105291259831438'}
{'cname': '北京鸿蒙建设有限公司', 'corcode': '91110109MA01NLW12C', 'cid': '002105291259831445'}
{'cname': '北京漳泽建筑装饰工程有限公司', 'corcode': '911101010555883317', 'cid': '002105291259832481'}
{'cname': '北京云尚国际展览展示有限公司', 'corcode': '91110109MA01RHWB5H', 'cid': '002105291259832496'}
{'cname': '北京融城建设工程有限公司', 'corcode': '9111010780295544XN', 'cid': '002105291305859820'}
{'cname': '北京中建华夏建设发展有限公司', 'corcode': '91110117MA003P6T7B', 'cid': '002105291305859830'}
{'cname': '北京锦程顺达建筑工程有限公司', 'corcode': '91110111MA01M5WG60', 'cid': '002105291254726735'}
{'cname': '中城天工工程咨询有限公司', 'corcode': '91110108748830856H', 'cid': '002105291254741230'}
{'cname': '北京中室嘉业装饰有限公司', 'corcode': '9111010577041754XQ', 'cid': '002105291254727756'}
{'cname': '北京志诚宏业智能控制技术有限公司', 'corcode': '911101157985044264', 'cid': '002105291254741928'}
{'cname': '东力建安（北京）科技有限公司', 'corcode': '91110109MA01NPLY3M', 'cid': '002105291254725274'}
{'cname': '北京天润博大建筑工程有限公司', 'corcode': '91110109MA01MU4C3D', 'cid': '002105291254725275'}
{'cname': '北京腾远嘉业建筑有限公司', 'corcode': '91110109MA01MRB87Y', 'cid': '002105291254727776'}
{'cname': '北京鑫燚盛农生态农业有限公司', 'corcode': '91110111587683268K', 'cid': '002105291254721418'}
{'cname': '通号工程局集团信息技术有限公司', 'corcode': '91110108057332516A', 'cid': '002105291254721424'}
{'cname': '北京三问建设工程有限公司', 'corcode': '91110302MA00H3YR5T', 'cid': '002105291254728773'}
{'cname': '金马赫哲（北京）建筑劳务工程有限公司', 'corcode': '91110109MA01GRTL5K', 'cid': '002105291254720381'}
{'cname': '北京英超盛达建筑工程有限责任公司', 'corcode': '91110111MA01P5454M', 'cid': '002105291254740561'}
{'cname': '北京仓天建设工程有限公司', 'corcode': '91110112085516275H', 'cid': '002105291254740562'}
{'cname': '北京腾疆集团有限公司', 'corcode': '911101066916923325', 'cid': '002105291254738091'}
{'cname': '北京诺和兴建设工程有限公司', 'corcode': '911101151028391811', 'cid': '002105291254738101'}
{'cname': '北京腾迪建设工程有限公司', 'corcode': '91110113MA00EUGQXE', 'cid': '002105291240546242'}
{'cname': '北京丰泽华夏生态环境科技有限公司', 'corcode': '91110111MA00FFJK4B', 'cid': '002105291240538990'}
{'cname': '北京荣文之江照明工程有限公司', 'corcode': '91110106794059759M', 'cid': '002105291240546268'}
{'cname': '北京博能暖通工程有限公司', 'corcode': '91110114556813955Y', 'cid': '002105291240546280'}
{'cname': '北京北旗建设工程有限公司', 'corcode': '91110111MA00AQ9BXP', 'cid': '002105291240562192'}
{'cname': '北京一州永胜科技有限公司', 'corcode': '911101160765553799', 'cid': '002105291240562198'}
{'cname': '北京天澳伟业科技发展有限公司', 'corcode': '91110115748147782Y', 'cid': '002105291240562199'}
{'cname': '北京鑫京卫建筑装饰材料有限公司', 'corcode': '911101127433379315', 'cid': '002105291240546427'}
{'cname': '北京星和众工设备技术股份有限公司', 'corcode': '911103027493534308', 'cid': '002105291240546428'}
{'cname': '北京宏舟设备安装有限公司', 'corcode': '911101147577128510', 'cid': '002105291240546429'}
{'cname': '中装建业装饰工程（北京）有限公司', 'corcode': '911101057662850380', 'cid': '002105291240546430'}
{'cname': '北京市林业送变电工程有限公司', 'corcode': '91110107102294521R', 'cid': '002105291240546431'}
{'cname': '北京博安时代消防工程有限公司', 'corcode': '911101067404433419', 'cid': '002105291240546432'}
